species	imgt_gene_id	functionality	gene_definition	allele_count	chromosome	chromosomal_localization	ligm_db_accessions	ncbi_gene_id
Bos taurus	TRAC	F	Bos taurus T cell receptor alpha constant	2	10		BK064707	-
Bos taurus	TRAJ1	F	Bos taurus T cell receptor alpha joining 1	1	10		BK064707	-
Bos taurus	TRAJ10	F	Bos taurus T cell receptor alpha joining 10	1	10		BK064707	-
Bos taurus	TRAJ11	F	Bos taurus T cell receptor alpha joining 11	2	10		BK064707	-
Bos taurus	TRAJ12	F	Bos taurus T cell receptor alpha joining 12	1	10		BK064707	-
Bos taurus	TRAJ13	P	Bos taurus T cell receptor alpha joining 13	2	10		BK064707	-
Bos taurus	TRAJ14	P	Bos taurus T cell receptor alpha joining 14	2	10		BK064707	-
Bos taurus	TRAJ15	F  P	Bos taurus T cell receptor alpha joining 15	2	10		BK064707	-
Bos taurus	TRAJ16	F	Bos taurus T cell receptor alpha joining 16	1	10		BK064707	-
Bos taurus	TRAJ17	F	Bos taurus T cell receptor alpha joining 17	1	10		BK064707	-
Bos taurus	TRAJ18	F	Bos taurus T cell receptor alpha joining 18	1	10		BK064707	-
Bos taurus	TRAJ19	P	Bos taurus T cell receptor alpha joining 19	1	10		BK064707	-
Bos taurus	TRAJ2	F	Bos taurus T cell receptor alpha joining 2	1	10		BK064707	-
Bos taurus	TRAJ20	F	Bos taurus T cell receptor alpha joining 20	1	10		BK064707	-
Bos taurus	TRAJ21	F	Bos taurus T cell receptor alpha joining 21	1	10		BK064707	-
Bos taurus	TRAJ22	F	Bos taurus T cell receptor alpha joining 22	1	10		BK064707	-
Bos taurus	TRAJ23	F	Bos taurus T cell receptor alpha joining 23	1	10		BK064707	-
Bos taurus	TRAJ24	F	Bos taurus T cell receptor alpha joining 24	1	10		BK064707	-
Bos taurus	TRAJ25	F	Bos taurus T cell receptor alpha joining 25	2	10		BK064707	-
Bos taurus	TRAJ26	ORF	Bos taurus T cell receptor alpha joining 26	1	10		BK064707	-
Bos taurus	TRAJ27	F	Bos taurus T cell receptor alpha joining 27	1	10		BK064707	-
Bos taurus	TRAJ28	F	Bos taurus T cell receptor alpha joining 28	1	10		BK064707	-
Bos taurus	TRAJ29	F	Bos taurus T cell receptor alpha joining 29	1	10		BK064707	-
Bos taurus	TRAJ3	F	Bos taurus T cell receptor alpha joining 3	1	10		BK064707	-
Bos taurus	TRAJ30	F	Bos taurus T cell receptor alpha joining 30	1	10		BK064707	-
Bos taurus	TRAJ31	F	Bos taurus T cell receptor alpha joining 31	2	10		BK064707	-
Bos taurus	TRAJ32	F	Bos taurus T cell receptor alpha joining 32	1	10		BK064707	-
