# Free-text antigen source molecule name → VDJdb canonical antigen.gene
# Strip "[species]" suffix and trailing " protein"/" glycoprotein" before lookup.
# Exact string match after stripping. Lines starting with # are comments and are ignored.
source_name	vdjdb_name
BMLF1 protein	BMLF1
EBNA-3B nuclear protein	EBNA3B
Epstein-Barr nuclear antigen 3	EBNA3B
nuclear antigen EBNA-3	EBNA3B
EBNA3A nuclear protein	EBNA3A
Replication and transcription activator	BRLF1
EBNA-1 protein	EBNA1
EBNA3C latent protein	EBNA3C
latent membrane protein 1	LMP1
Latent membrane protein 2	LMP2A
Lytic switch protein BZLF1	BZLF1
tegument protein VP22	VP22
HCMVUL83	pp65
tegument protein pp65	pp65
65 kDa phosphoprotein	pp65
UL123; IE1	IE1
55 kDa immediate-early protein 1	IE1
Regulatory protein IE1	IE1
regulatory protein IE1	IE1
DNA processivity factor	UL44
Immediate-early protein 3 (IE3)	IE3
pM45	M45
Matrix protein 1	M1
Nucleoprotein	Nucleocapsid
nucleoprotein	NP
nucleocapsid protein	NP
Neuraminidase	Neuraminidase
neuraminidase	Neuraminidase
Matrix M2	M2
Matrix protein	M
Protein PB1-F2	PB1-F2
RNA-directed RNA polymerase catalytic subunit	PB1
RNA-directed RNA polymerase subunit P1 (Polymerase basic protein 1) (PB1)	PB1
Polymerase acidic protein	PA
Hemagglutinin precursor	HA
Hemagglutinin	HA
hemagglutinin	HA
hemagglutinin HA1	HA
HA1	HA
HA2	HA
Spike glycoprotein	Spike
spike glycoprotein	Spike
Chain A, Spike glycoprotein	Spike
surface glycoprotein	Spike
Replicase polyprotein 1a	ORF1ab
Replicase polyprotein 1ab	ORF1ab
orf1ab polyprotein	ORF1ab
ORF1ab polyprotein	ORF1ab
ORF3a protein	ORF3a
ORF7a protein	ORF7a
ORF7b protein	ORF7b
ORF8 protein	ORF8
Putative ORF10 protein	ORF10
Membrane protein	Matrix
Envelope small membrane protein	E
protein I	I
Nef protein	Nef
Protein Nef	Nef
GAG protein	Gag
Gag polyprotein	Gag
gag polyprotein	Gag
pol protein	Pol
Genome polyprotein	Polyprotein
Nonstructural protein NS3	NS3
nonstructural protein 3	NS3
NS3	NS3
nonstructural protein 1	NS1
Non-structural protein 1	NS1
polyprotein precursor	Polyprotein
precore/core protein	HBcAg
Protein P	Pol
transcriptional activator Tax	Tax
Pre-glycoprotein polyprotein GP complex	GPC
glycoprotein	GPC
Uncharacterized protein MT1568	Rv1518
branched-chain alpha-keto acid dehydrogenase subunit E2	Rv1518
10 kDa culture filtrate antigen EsxB	CFP10
10 KDA CULTURE FILTRATE ANTIGEN ESXB (LHP) (CFP10)	CFP10
ESAT-6-like protein esxH	EsxH
Antigen 85-B	Ag85B
E1A	E1A
Early E1A 32 kDa protein	E1A
Hexon protein	Hexon
Protein E7	E7
E7 protein	E7
Protein E6	E6
Envelope glycoprotein D	gD
